SYMBOLS,2025-05-11,2025-05-12,2025-05-13,2025-05-17
AAPL,198.53,198.53,210.79,211.26
ADBE,383.28,383.28,395.94,417.13
ADI,207.51,207.51,223.15,227.11
ADP,307.72,307.72,309.38,319.37
ADSK,287.48,287.48,293.2,298.08
AMAT,155.61,155.61,167.99,165.57
AMGN,265.86,265.86,274.76,272.41
AMZN,193.06,193.06,208.64,205.59
AVGO,208.2,208.2,221.58,228.61
BIIB,118.17,118.17,124.4,125.59
BKNG,5072.54,5072.54,5194.99,5317.07
CMCSA,34.25,34.25,34.72,35.48
COST,1008.09,1008.09,1016.15,1025.83
CRM,275.42,275.42,288.82,291.15
CSCO,59.77,59.77,61.67,63.62
CSX,28.74,28.74,30.31,31.32
CTSH,79.17,79.17,81.81,81.44
DXCM,84.67,84.67,85.05,85.48
EA,153.3,153.3,149.27,151.54
EBAY,69.51,69.51,69.16,71.84
GILD,96.91,96.91,103.82,102.5
GOOGL,152.75,152.75,158.46,166.19
ILMN,75.76,75.76,81.57,83.62
INTC,21.42,21.42,22.18,21.66
INTU,653.88,653.88,662.3,670.28
ISRG,536.51,536.51,561.43,563.6
JD,33.86,33.86,36.05,33.55
KHC,28.07,28.07,28.15,27.74
LRCX,75.36,75.36,82.25,84.43
LULU,279.77,279.77,304.2,321.44
MDLZ,66.37,66.37,65.83,65.32
MELI,2450.0,2450.0,2504.61,2584.92
META,592.49,592.49,639.43,640.34
MNST,61.0,61.0,61.36,62.86
MRVL,59.65,59.65,64.5,63.76
MSFT,438.73,438.73,449.26,454.27
MU,85.86,85.86,92.29,98.0
NFLX,1140.22,1140.22,1110.0,1191.53
NVDA,116.65,116.65,123.0,135.4
PCAR,90.66,90.66,95.74,96.71
PEP,130.44,130.44,131.68,131.98
PYPL,70.26,70.26,72.31,72.18
QCOM,145.18,145.18,152.12,152.5
REGN,527.78,527.78,575.63,594.32
SBUX,80.3,80.3,85.67,85.57
TMUS,243.81,243.81,240.32,242.66
TSLA,298.26,298.26,318.38,349.98
TXN,172.27,172.27,187.28,188.5
VRTX,424.99,424.99,439.37,438.65
WDAY,259.18,259.18,266.57,273.05
